# file...... Regulator_testReg.csv
# date...... Mon Aug 14 14:24:20 2017
# user...... brendanlewis
# host...... (null)
# target.... regulator 1
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag,phases
2012-04-01 00:00:00 PDT,0,0,0,+96906.2,-42.4599,+41886.1,-427.795,+75453.5,-181.956,+214246,-652.211,ABCN
2012-04-01 01:00:00 PDT,0,0,0,+1.23317e+06,+32338.6,+543163,+7628.7,+1.00605e+06,+33984.6,+2.78238e+06,+73951.8,ABCN
2012-04-01 02:00:00 PDT,0,0,0,+318365,+5691.58,+204973,+1972.96,+242067,+5687.94,+765404,+13352.5,ABCN
2012-04-01 03:00:00 PDT,0,0,0,+720474,+29068.2,+374536,+6380.77,+713957,+24627.6,+1.80897e+06,+60076.5,ABCN
2012-04-01 04:00:00 PDT,0,0,0,+550728,+9095.77,+215569,+2635.15,+447549,+10203.5,+1.21385e+06,+21934.4,ABCN
2012-04-01 05:00:00 PDT,0,0,0,+666787,+17433.1,+345868,+5389.78,+611848,+16323.4,+1.6245e+06,+39146.3,ABCN
2012-04-01 06:00:00 PDT,0,0,0,+241022,-34841.4,-25892.1,-40129.6,+201207,-36447.1,+416337,-111418,ABCN
2012-04-01 07:00:00 PDT,0,0,0,-74963.3,-58675.6,-280611,-63237.4,-104404,-60758.3,-459978,-182671,ABCN
2012-04-01 08:00:00 PDT,0,0,0,-662764,-120883,-998587,-112732,-725603,-127034,-2.38695e+06,-360649,ABCN
2012-04-01 09:00:00 PDT,0,0,0,-1.21808e+06,-144412,-1.42769e+06,-125917,-1.28711e+06,-143179,-3.93287e+06,-413508,ABCN
2012-04-01 10:00:00 PDT,0,0,0,-1.93327e+06,-153889,-2.11483e+06,-108542,-1.97554e+06,-132609,-6.02363e+06,-395039,ABCN
2012-04-01 11:00:00 PDT,0,0,0,-1.67345e+06,-144363,-1.78508e+06,-114700,-1.69008e+06,-129929,-5.1486e+06,-388993,ABCN
2012-04-01 12:00:00 PDT,0,0,0,-1.90336e+06,-151432,-2.05974e+06,-114218,-1.91453e+06,-127453,-5.87762e+06,-393103,ABCN
2012-04-01 13:00:00 PDT,0,-1,-1,-1.53762e+06,-139215,-1.59642e+06,-127969,-1.53745e+06,-137615,-4.67149e+06,-404799,ABCN
2012-04-01 14:00:00 PDT,0,-2,-2,-1.28059e+06,-131195,-1.38399e+06,-121308,-1.3343e+06,-127460,-3.99888e+06,-379963,ABCN
2012-04-01 15:00:00 PDT,1,-2,-3,-644654,-91275,-724288,-85532.6,-666516,-88325.8,-2.03546e+06,-265133,ABCN
2012-04-01 16:00:00 PDT,1,-2,-4,-380575,-63819.9,-435338,-62349.5,-419546,-62739.4,-1.23546e+06,-188909,ABCN
2012-04-01 17:00:00 PDT,0,-2,-3,-5811.6,-24204.3,-147821,-27186.6,+13453.3,-27702.4,-140179,-79093.4,ABCN
2012-04-01 18:00:00 PDT,-1,-2,-4,+334508,+7557.89,+145019,+3340.72,+337836,+11887,+817363,+22785.6,ABCN
