Frequency,Year,Station Name,Total Lines,Valid Lines,Invalid Lines
subhourly,2017,AK_Cordova_14_ESE,45288,45108,180
subhourly,2017,AK_Deadhorse_3_S,105120,104493,627
subhourly,2017,AK_Denali_27_N,105120,101140,3980
subhourly,2017,AK_Fairbanks_11_NE,105120,105072,48
subhourly,2017,AK_Glennallen_64_N,105120,88256,16864
subhourly,2017,AK_Gustavus_2_NE,105120,105000,120
subhourly,2017,AK_Ivotuk_1_NNE,105120,100980,4140
subhourly,2017,AK_Kenai_29_ENE,105120,105060,60
subhourly,2017,AK_King_Salmon_42_SE,105120,96888,8232
subhourly,2017,AK_Metlakatla_6_S,105120,105060,60
subhourly,2017,AK_Port_Alsworth_1_SW,105120,105000,120
subhourly,2017,AK_Red_Dog_Mine_3_SSW,105120,103968,1152
subhourly,2017,AK_Ruby_44_ESE,105120,93840,11280
subhourly,2017,AK_Sand_Point_1_ENE,105120,105072,48
subhourly,2017,AK_Selawik_28_E,105120,102801,2319
subhourly,2017,AK_Sitka_1_NE,105120,105060,60
subhourly,2017,AK_St._Paul_4_NE,105120,105048,72
subhourly,2017,AK_Tok_70_SE,105120,78060,27060
subhourly,2017,AK_Toolik_Lake_5_ENE,38004,37896,108
subhourly,2017,AK_Utqiagvik_formerly_Barrow_4_ENE,105120,105072,48
subhourly,2017,AK_Yakutat_3_SSE,105120,100848,4272
subhourly,2017,AL_Brewton_3_NNE,105120,0,105120
subhourly,2017,AL_Clanton_2_NE,105120,0,105120
subhourly,2017,AL_Courtland_2_WSW,105120,0,105120
subhourly,2017,AL_Cullman_3_ENE,105120,0,105120
subhourly,2017,AL_Fairhope_3_NE,105120,103773,1347
subhourly,2017,AL_Gadsden_19_N,105120,49416,55704
subhourly,2017,AL_Gainesville_2_NE,105120,0,105120
subhourly,2017,AL_Greensboro_2_WNW,105120,0,105120
subhourly,2017,AL_Highland_Home_2_S,105120,0,105120
subhourly,2017,AL_Muscle_Shoals_2_N,105120,0,105120
subhourly,2017,AL_Northport_2_S,105120,0,105120
subhourly,2017,AL_Russellville_4_SSE,105120,0,105120
subhourly,2017,AL_Scottsboro_2_NE,105120,0,105120
subhourly,2017,AL_Selma_6_SSE,105120,0,105120
subhourly,2017,AL_Selma_13_WNW,105120,105024,96
subhourly,2017,AL_Talladega_10_NNE,105120,0,105120
subhourly,2017,AL_Thomasville_2_S,105120,0,105120
subhourly,2017,AL_Troy_2_W,105120,0,105120
subhourly,2017,AL_Valley_Head_1_SSW,105120,0,105120
subhourly,2017,AR_Batesville_8_WNW,105120,105048,72
subhourly,2017,AZ_Elgin_5_S,105120,105096,24
subhourly,2017,AZ_Tucson_11_W,105120,105084,36
subhourly,2017,AZ_Williams_35_NNW,105120,105072,48
subhourly,2017,AZ_Yuma_27_ENE,105120,105084,36
subhourly,2017,CA_Bodega_6_WSW,105120,104760,360
subhourly,2017,CA_Fallbrook_5_NE,105120,105084,36
subhourly,2017,CA_Merced_23_WSW,105120,105035,85
subhourly,2017,CA_Redding_12_WNW,105120,105048,72
subhourly,2017,CA_Santa_Barbara_11_W,105120,105060,60
subhourly,2017,CA_Stovepipe_Wells_1_SW,105120,105084,36
subhourly,2017,CA_Yosemite_Village_12_W,105120,105024,96
subhourly,2017,CO_Boulder_14_W,105120,104988,132
subhourly,2017,CO_Cortez_8_SE,105120,105072,48
subhourly,2017,CO_Dinosaur_2_E,105120,105096,24
subhourly,2017,CO_La_Junta_17_WSW,105120,105084,36
subhourly,2017,CO_Montrose_11_ENE,105120,105012,108
subhourly,2017,CO_Nunn_7_NNE,105120,105084,36
subhourly,2017,FL_Everglades_City_5_NE,105120,105072,48
subhourly,2017,FL_Sebring_23_SSE,105120,105048,72
subhourly,2017,FL_Titusville_7_E,105120,104975,145
subhourly,2017,GA_Brunswick_23_S,105120,105060,60
subhourly,2017,GA_Newton_8_W,105120,95292,9828
subhourly,2017,GA_Newton_11_SW,105120,105024,96
subhourly,2017,GA_Watkinsville_5_SSE,105120,105072,48
subhourly,2017,HI_Hilo_5_S,105120,105072,48
subhourly,2017,HI_Mauna_Loa_5_NNE,105120,105084,36
subhourly,2017,IA_Des_Moines_17_E,105120,105036,84
subhourly,2017,ID_Arco_17_SW,105120,105012,108
subhourly,2017,ID_Murphy_10_W,105120,105084,36
subhourly,2017,IL_Champaign_9_SW,105120,105048,72
subhourly,2017,IL_Shabbona_5_NNE,105120,105048,72
subhourly,2017,IN_Bedford_5_WNW,105120,105084,36
subhourly,2017,KS_Manhattan_6_SSW,105120,105068,52
subhourly,2017,KS_Oakley_19_SSW,105120,105060,60
subhourly,2017,KY_Bowling_Green_21_NNE,105120,104976,144
subhourly,2017,KY_Versailles_3_NNW,105120,104112,1008
subhourly,2017,LA_Lafayette_13_SE,105120,105000,120
subhourly,2017,LA_Monroe_26_N,105120,105036,84
subhourly,2017,ME_Limestone_4_NNW,105120,102732,2388
subhourly,2017,ME_Old_Town_2_W,105120,105060,60
subhourly,2017,MI_Chatham_1_SE,105120,105072,48
subhourly,2017,MI_Gaylord_9_SSW,105120,105096,24
subhourly,2017,MN_Goodridge_12_NNW,105120,105084,36
subhourly,2017,MN_Sandstone_6_W,105120,105072,48
subhourly,2017,MO_Chillicothe_22_ENE,105120,105048,72
subhourly,2017,MO_Joplin_24_N,105120,88392,16728
subhourly,2017,MO_Salem_10_W,105120,105072,48
subhourly,2017,MS_Holly_Springs_4_N,105120,105072,48
subhourly,2017,MS_Newton_5_ENE,105120,105084,36
subhourly,2017,MT_Dillon_18_WSW,105120,105072,48
subhourly,2017,MT_Lewistown_42_WSW,105120,105084,36
subhourly,2017,MT_St._Mary_1_SSW,105120,105084,36
subhourly,2017,MT_Wolf_Point_29_ENE,105120,105096,24
subhourly,2017,MT_Wolf_Point_34_NE,105120,105060,60
subhourly,2017,NC_Asheville_8_SSW,105120,105024,96
subhourly,2017,NC_Asheville_13_S,105120,105012,108
subhourly,2017,NC_Durham_11_W,105120,104208,912
subhourly,2017,ND_Jamestown_38_WSW,105120,105084,36
subhourly,2017,ND_Medora_7_E,105120,105048,72
subhourly,2017,ND_Northgate_5_ESE,105120,105072,48
subhourly,2017,NE_Harrison_20_SSE,105120,105084,36
subhourly,2017,NE_Lincoln_8_ENE,105120,105072,48
subhourly,2017,NE_Lincoln_11_SW,105120,105060,60
subhourly,2017,NE_Whitman_5_ENE,105120,105072,48
subhourly,2017,NH_Durham_2_N,105120,104988,132
subhourly,2017,NH_Durham_2_SSW,105120,105048,72
subhourly,2017,NM_Las_Cruces_20_N,105120,105084,36
subhourly,2017,NM_Los_Alamos_13_W,105120,105072,48
subhourly,2017,NM_Socorro_20_N,105120,105096,24
subhourly,2017,NV_Baker_5_W,105120,105072,48
subhourly,2017,NV_Denio_52_WSW,105120,105060,60
subhourly,2017,NV_Mercury_3_SSW,105120,105072,48
subhourly,2017,NY_Ithaca_13_E,105120,105060,60
subhourly,2017,NY_Millbrook_3_W,105120,105000,120
subhourly,2017,OH_Wooster_3_SSE,105120,105060,60
subhourly,2017,OK_Goodwell_2_E,105120,102396,2724
subhourly,2017,OK_Goodwell_2_SE,105120,105096,24
subhourly,2017,OK_Stillwater_2_W,105120,105060,60
subhourly,2017,OK_Stillwater_5_WNW,105120,105060,60
subhourly,2017,ON_Egbert_1_W,105120,105096,24
subhourly,2017,OR_Coos_Bay_8_SW,105120,105026,94
subhourly,2017,OR_Corvallis_10_SSW,105120,105048,72
subhourly,2017,OR_John_Day_35_WNW,105120,105072,48
subhourly,2017,OR_Riley_10_WSW,105120,105084,36
subhourly,2017,PA_Avondale_2_N,105120,105048,72
subhourly,2017,RI_Kingston_1_NW,105120,105036,84
subhourly,2017,RI_Kingston_1_W,105120,105024,96
subhourly,2017,SC_Blackville_3_W,105120,105084,36
subhourly,2017,SC_McClellanville_7_NE,105120,104976,144
subhourly,2017,SD_Aberdeen_35_WNW,105120,105048,72
subhourly,2017,SD_Buffalo_13_ESE,105120,105072,48
subhourly,2017,SD_Pierre_24_S,105120,105072,48
subhourly,2017,SD_Sioux_Falls_14_NNE,105120,102312,2808
subhourly,2017,TN_Crossville_7_NW,105120,105036,84
subhourly,2017,TX_Austin_33_NW,105120,105072,48
subhourly,2017,TX_Bronte_11_NNE,105120,105072,48
subhourly,2017,TX_Edinburg_17_NNE,105120,103692,1428
subhourly,2017,TX_Monahans_6_ENE,105120,105096,24
subhourly,2017,TX_Muleshoe_19_S,105120,105084,36
subhourly,2017,TX_Palestine_6_WNW,105120,105036,84
subhourly,2017,TX_Panther_Junction_2_N,105120,105084,36
subhourly,2017,TX_Port_Aransas_32_NNE,105120,105060,60
subhourly,2017,UT_Brigham_City_28_WNW,105120,105084,36
subhourly,2017,UT_Torrey_7_E,105120,105084,36
subhourly,2017,VA_Cape_Charles_5_ENE,105120,105036,84
subhourly,2017,VA_Charlottesville_2_SSE,105120,105084,36
subhourly,2017,WA_Darrington_21_NNE,105120,105084,36
subhourly,2017,WA_Quinault_4_NE,105120,105060,60
subhourly,2017,WA_Spokane_17_SSW,105120,105072,48
subhourly,2017,WI_Necedah_5_WNW,105120,105072,48
subhourly,2017,WV_Elkins_21_ENE,105120,105060,60
subhourly,2017,WY_Lander_11_SSE,105120,105084,36
subhourly,2017,WY_Moose_1_NNE,105120,105084,36
subhourly,2017,WY_Sundance_8_NNW,105120,105072,48
