Frequency,Year,Station Name,Total Lines,Valid Lines,Invalid Lines,Frequency,Year,Station Name,Total Lines,Valid Lines,Invalid Lines
hourly,2017,CO_Dinosaur_2_E,8760,8758,2,subhourly,2017,CO_Dinosaur_2_E,105120,105096,24
hourly,2017,MI_Gaylord_9_SSW,8760,8758,2,subhourly,2017,MI_Gaylord_9_SSW,105120,105096,24
hourly,2017,ON_Egbert_1_W,8760,8758,2,subhourly,2017,ON_Egbert_1_W,105120,105096,24
hourly,2017,CA_Stovepipe_Wells_1_SW,8760,8757,3,subhourly,2017,CA_Stovepipe_Wells_1_SW,105120,105084,36
hourly,2017,MT_St._Mary_1_SSW,8760,8757,3,subhourly,2017,MT_St._Mary_1_SSW,105120,105084,36
hourly,2017,ND_Jamestown_38_WSW,8760,8757,3,subhourly,2017,ND_Jamestown_38_WSW,105120,105084,36
hourly,2017,OR_Riley_10_WSW,8760,8757,3,subhourly,2017,OR_Riley_10_WSW,105120,105084,36
hourly,2017,UT_Torrey_7_E,8760,8757,3,subhourly,2017,UT_Torrey_7_E,105120,105084,36
hourly,2017,AZ_Yuma_27_ENE,8760,8756,4,subhourly,2017,AZ_Yuma_27_ENE,105120,105084,36
hourly,2017,GA_Watkinsville_5_SSE,8760,8756,4,subhourly,2017,GA_Watkinsville_5_SSE,105120,105072,48
hourly,2017,IN_Bedford_5_WNW,8760,8756,4,subhourly,2017,IN_Bedford_5_WNW,105120,105084,36
hourly,2017,MT_Dillon_18_WSW,8760,8756,4,subhourly,2017,MT_Dillon_18_WSW,105120,105072,48
hourly,2017,ND_Northgate_5_ESE,8760,8756,4,subhourly,2017,ND_Northgate_5_ESE,105120,105072,48
hourly,2017,NE_Lincoln_8_ENE,8760,8756,4,subhourly,2017,NE_Lincoln_8_ENE,105120,105072,48
hourly,2017,NV_Mercury_3_SSW,8760,8756,4,subhourly,2017,NV_Mercury_3_SSW,105120,105072,48
hourly,2017,SC_Blackville_3_W,8760,8756,4,subhourly,2017,SC_Blackville_3_W,105120,105084,36
hourly,2017,SD_Pierre_24_S,8760,8756,4,subhourly,2017,SD_Pierre_24_S,105120,105072,48
hourly,2017,TX_Bronte_11_NNE,8760,8756,4,subhourly,2017,TX_Bronte_11_NNE,105120,105072,48
hourly,2017,HI_Mauna_Loa_5_NNE,8760,8755,5,subhourly,2017,HI_Mauna_Loa_5_NNE,105120,105084,36
hourly,2017,KS_Oakley_19_SSW,8760,8755,5,subhourly,2017,KS_Oakley_19_SSW,105120,105060,60
