Frequency,Year,Station Name,Total Lines,Valid Lines,Invalid Lines
hourly,2017,AK_Cordova_14_ESE,3774,3211,563
hourly,2017,AK_Deadhorse_3_S,8760,3188,5572
hourly,2017,AK_Denali_27_N,8760,8422,338
hourly,2017,AK_Fairbanks_11_NE,8760,8756,4
hourly,2017,AK_Glennallen_64_N,8760,7367,1393
hourly,2017,AK_Gustavus_2_NE,8760,7358,1402
hourly,2017,AK_Ivotuk_1_NNE,8760,8422,338
hourly,2017,AK_Kenai_29_ENE,8760,8750,10
hourly,2017,AK_King_Salmon_42_SE,8760,7969,791
hourly,2017,AK_Metlakatla_6_S,8760,8755,5
hourly,2017,AK_Port_Alsworth_1_SW,8760,8750,10
hourly,2017,AK_Red_Dog_Mine_3_SSW,8760,8661,99
hourly,2017,AK_Ruby_44_ESE,8760,7820,940
hourly,2017,AK_Sand_Point_1_ENE,8760,8756,4
hourly,2017,AK_Selawik_28_E,8760,8572,188
hourly,2017,AK_Sitka_1_NE,8760,8755,5
hourly,2017,AK_St._Paul_4_NE,8760,8750,10
hourly,2017,AK_Tok_70_SE,8760,6505,2255
hourly,2017,AK_Toolik_Lake_5_ENE,3167,3158,9
hourly,2017,AK_Utqiagvik_formerly_Barrow_4_ENE,8760,8708,52
hourly,2017,AK_Yakutat_3_SSE,8760,8752,8
hourly,2017,AL_Brewton_3_NNE,8760,0,8760
hourly,2017,AL_Clanton_2_NE,8760,0,8760
hourly,2017,AL_Courtland_2_WSW,8760,0,8760
hourly,2017,AL_Cullman_3_ENE,8760,0,8760
hourly,2017,AL_Fairhope_3_NE,8760,8642,118
hourly,2017,AL_Gadsden_19_N,8760,8751,9
hourly,2017,AL_Gainesville_2_NE,8760,0,8760
hourly,2017,AL_Greensboro_2_WNW,8760,0,8760
hourly,2017,AL_Highland_Home_2_S,8760,0,8760
hourly,2017,AL_Muscle_Shoals_2_N,8760,0,8760
hourly,2017,AL_Northport_2_S,8760,0,8760
hourly,2017,AL_Russellville_4_SSE,8760,0,8760
hourly,2017,AL_Scottsboro_2_NE,8760,0,8760
hourly,2017,AL_Selma_6_SSE,8760,0,8760
hourly,2017,AL_Selma_13_WNW,8760,8752,8
hourly,2017,AL_Talladega_10_NNE,8760,0,8760
hourly,2017,AL_Thomasville_2_S,8760,0,8760
hourly,2017,AL_Troy_2_W,8760,0,8760
hourly,2017,AL_Valley_Head_1_SSW,8760,0,8760
hourly,2017,AR_Batesville_8_WNW,8760,8752,8
hourly,2017,AZ_Elgin_5_S,8760,8758,2
hourly,2017,AZ_Tucson_11_W,8760,8064,696
hourly,2017,AZ_Williams_35_NNW,8760,8755,5
hourly,2017,AZ_Yuma_27_ENE,8760,8756,4
hourly,2017,CA_Bodega_6_WSW,8760,8704,56
hourly,2017,CA_Fallbrook_5_NE,8760,8753,7
hourly,2017,CA_Merced_23_WSW,8760,8751,9
hourly,2017,CA_Redding_12_WNW,8760,8754,6
hourly,2017,CA_Santa_Barbara_11_W,8760,8755,5
hourly,2017,CA_Stovepipe_Wells_1_SW,8760,8757,3
hourly,2017,CA_Yosemite_Village_12_W,8760,7332,1428
hourly,2017,CO_Boulder_14_W,8760,8747,13
hourly,2017,CO_Cortez_8_SE,8760,8756,4
hourly,2017,CO_Dinosaur_2_E,8760,8758,2
hourly,2017,CO_La_Junta_17_WSW,8760,8757,3
hourly,2017,CO_Montrose_11_ENE,8760,8750,10
hourly,2017,CO_Nunn_7_NNE,8760,8757,3
hourly,2017,FL_Everglades_City_5_NE,8760,8752,8
hourly,2017,FL_Sebring_23_SSE,8760,7837,923
hourly,2017,FL_Titusville_7_E,8760,8747,13
