# file...... out_super_house.csv
# date...... Mon Feb 25 13:06:39 2019
# user...... dpinney
# host...... (null)
# target.... house 15
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,heating_demand, cooling_demand, heating_setpoint, air_temperature, outdoor_temperature
2012-01-01 12:00:00 EST,+7.59073,+2.98404,+59.2,+71.22,+44.962
2012-01-01 12:01:00 EST,+7.59261,+2.98555,+59.2,+71.1446,+44.9888
2012-01-01 12:02:00 EST,+7.59448,+2.98704,+59.2,+71.0775,+45.0154
2012-01-01 12:03:00 EST,+7.59632,+2.98851,+59.2,+71.0178,+45.0416
2012-01-01 12:04:00 EST,+7.59814,+2.98996,+59.2,+70.9645,+45.0676
2012-01-01 12:05:00 EST,+7.59994,+2.9914,+59.2,+70.9171,+45.0932
2012-01-01 12:06:00 EST,+7.60172,+2.99282,+59.2,+70.8748,+45.1186
2012-01-01 12:07:00 EST,+7.60349,+2.99422,+59.2,+70.8371,+45.1436
2012-01-01 12:08:00 EST,+7.60523,+2.99561,+59.2,+70.8033,+45.1684
2012-01-01 12:09:00 EST,+7.60695,+2.99698,+59.2,+70.773,+45.1928
2012-01-01 12:10:00 EST,+7.60865,+2.99833,+59.2,+70.7458,+45.217
2012-01-01 12:11:00 EST,+7.61033,+2.99966,+59.2,+70.7213,+45.2408
2012-01-01 12:12:00 EST,+7.61199,+3.00098,+59.2,+70.6992,+45.2644
2012-01-01 12:13:00 EST,+7.61363,+3.00228,+59.2,+70.6792,+45.2876
2012-01-01 12:14:00 EST,+7.61525,+3.00356,+59.2,+70.6612,+45.3106
2012-01-01 12:15:00 EST,+7.61685,+3.00483,+59.2,+70.6447,+45.3332
2012-01-01 12:16:00 EST,+7.61843,+3.00608,+59.2,+70.6298,+45.3556
2012-01-01 12:17:00 EST,+7.61999,+3.00731,+59.2,+70.6161,+45.3776
2012-01-01 12:18:00 EST,+7.62153,+3.00852,+59.2,+70.6036,+45.3994
2012-01-01 12:19:00 EST,+7.62304,+3.00972,+59.2,+70.5921,+45.4208
2012-01-01 12:20:00 EST,+7.62454,+3.0109,+59.2,+70.5815,+45.442
2012-01-01 12:21:00 EST,+7.62602,+3.01207,+59.2,+70.5717,+45.4628
2012-01-01 12:22:00 EST,+7.62747,+3.01321,+59.2,+70.5626,+45.4834
2012-01-01 12:23:00 EST,+7.62891,+3.01434,+59.2,+70.554,+45.5036
2012-01-01 12:24:00 EST,+7.63032,+3.01546,+59.2,+70.5461,+45.5236
2012-01-01 12:25:00 EST,+7.63171,+3.01655,+59.2,+70.5386,+45.5432
2012-01-01 12:26:00 EST,+7.63309,+3.01763,+59.2,+70.5315,+45.5626
2012-01-01 12:27:00 EST,+7.63444,+3.01869,+59.2,+70.5248,+45.5816
