# file...... out_house_power.csv
# date...... Mon Feb 11 13:34:46 2019
# user...... tuomastalvitie
# host...... (null)
# target.... house 2
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,heating_demand, cooling_demand, heating_setpoint, air_temperature, outdoor_temperature
2012-01-01 00:00:00 EST,+26.3775,+4.34327,+70,+68,+26.062
2012-01-01 00:01:00 EST,+26.3775,+4.34312,+70,+68.355,+26.0708
2012-01-01 00:02:00 EST,+26.3775,+4.34298,+70,+68.668,+26.0794
2012-01-01 00:03:00 EST,+26.3775,+4.34285,+70,+68.9447,+26.0876
2012-01-01 00:04:00 EST,+26.3775,+4.34271,+70,+69.1904,+26.0956
2012-01-01 00:05:00 EST,+26.3775,+4.34259,+70,+69.4093,+26.1032
2012-01-01 00:06:00 EST,+26.3775,+4.34247,+70,+69.6052,+26.1106
2012-01-01 00:07:00 EST,+26.3775,+4.34235,+70,+69.7812,+26.1176
2012-01-01 00:08:00 EST,+26.3775,+4.34224,+70,+69.9402,+26.1244
2012-01-01 00:09:00 EST,+26.3775,+4.34213,+70,+70.0845,+26.1308
2012-01-01 00:10:00 EST,+26.3775,+4.34203,+70,+70.2161,+26.137
2012-01-01 00:11:00 EST,+26.3775,+4.34193,+70,+70.3369,+26.1428
2012-01-01 00:12:00 EST,+26.3775,+4.34184,+70,+70.4483,+26.1484
2012-01-01 00:13:00 EST,+26.3775,+4.34176,+70,+70.5516,+26.1536
2012-01-01 00:14:00 EST,+26.3775,+4.34167,+70,+70.648,+26.1586
2012-01-01 00:15:00 EST,+26.3775,+4.3416,+70,+70.7384,+26.1632
2012-01-01 00:16:00 EST,+26.3775,+4.34153,+70,+70.8237,+26.1676
2012-01-01 00:17:00 EST,+26.3775,+4.34146,+70,+70.9044,+26.1716
2012-01-01 00:18:00 EST,+26.3775,+4.3414,+70,+70.9814,+26.1754
2012-01-01 00:19:00 EST,+26.3775,+4.34134,+70,+71.055,+26.1788
2012-01-01 00:20:00 EST,+26.3775,+4.34129,+70,+70.419,+26.182
2012-01-01 00:21:00 EST,+26.3775,+4.34124,+70,+69.8643,+26.1848
2012-01-01 00:22:00 EST,+26.3775,+4.3412,+70,+69.3797,+26.1874
2012-01-01 00:23:00 EST,+26.3775,+4.34116,+70,+68.9553,+26.1896
2012-01-01 00:24:00 EST,+26.3775,+4.34113,+70,+69.2894,+26.1916
2012-01-01 00:25:00 EST,+26.3775,+4.3411,+70,+69.5842,+26.1932
2012-01-01 00:26:00 EST,+26.3775,+4.34108,+70,+69.8453,+26.1946
2012-01-01 00:27:00 EST,+26.3775,+4.34106,+70,+70.0772,+26.1956
2012-01-01 00:28:00 EST,+26.3775,+4.34105,+70,+70.2841,+26.1964
2012-01-01 00:29:00 EST,+26.3775,+4.34104,+70,+70.4694,+26.1968
2012-01-01 00:30:00 EST,+26.3775,+4.34104,+70,+70.6362,+26.197
2012-01-01 00:31:00 EST,+26.3775,+4.34104,+70,+70.787,+26.1968
2012-01-01 00:32:00 EST,+26.3775,+4.34105,+70,+70.9241,+26.1964
2012-01-01 00:33:00 EST,+26.3775,+4.34106,+70,+71.0494,+26.1956
2012-01-01 00:34:00 EST,+26.3775,+4.34108,+70,+70.4577,+26.1946
2012-01-01 00:35:00 EST,+26.3775,+4.3411,+70,+69.941,+26.1932
2012-01-01 00:36:00 EST,+26.3775,+4.34113,+70,+69.489,+26.1916
2012-01-01 00:37:00 EST,+26.3775,+4.34116,+70,+69.0925,+26.1896
2012-01-01 00:38:00 EST,+26.3775,+4.3412,+70,+68.7438,+26.1874
