# file...... out_super_house_triplex_meter.csv
# date...... Mon Feb 25 13:06:39 2019
# user...... dpinney
# host...... (null)
# target.... triplex_meter 6
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_real_energy
2012-01-01 12:00:00 EST,+0
2012-01-01 12:01:00 EST,-174.859
2012-01-01 12:02:00 EST,-349.539
2012-01-01 12:03:00 EST,-524.039
2012-01-01 12:04:00 EST,-698.355
2012-01-01 12:05:00 EST,-872.487
2012-01-01 12:06:00 EST,-1046.17
2012-01-01 12:07:00 EST,-1219.52
2012-01-01 12:08:00 EST,-1392.68
2012-01-01 12:09:00 EST,-1565.64
2012-01-01 12:10:00 EST,-1738.42
2012-01-01 12:11:00 EST,-1911
2012-01-01 12:12:00 EST,-2083.38
2012-01-01 12:13:00 EST,-2255.56
2012-01-01 12:14:00 EST,-2427.54
2012-01-01 12:15:00 EST,-2599.32
2012-01-01 12:16:00 EST,-2770.89
2012-01-01 12:17:00 EST,-2942.25
2012-01-01 12:18:00 EST,-3113.41
2012-01-01 12:19:00 EST,-3284.35
2012-01-01 12:20:00 EST,-3455.08
2012-01-01 12:21:00 EST,-3625.6
2012-01-01 12:22:00 EST,-3795.9
2012-01-01 12:23:00 EST,-3965.99
2012-01-01 12:24:00 EST,-4135.85
2012-01-01 12:25:00 EST,-4305.49
2012-01-01 12:26:00 EST,-4474.91
2012-01-01 12:27:00 EST,-4644.1
2012-01-01 12:28:00 EST,-4813.07
2012-01-01 12:29:00 EST,-4981.8
2012-01-01 12:30:00 EST,-5150.31
2012-01-01 12:31:00 EST,-5318.58
2012-01-01 12:32:00 EST,-5486.62
2012-01-01 12:33:00 EST,-5654.42
2012-01-01 12:34:00 EST,-5821.98
2012-01-01 12:35:00 EST,-5989.3
2012-01-01 12:36:00 EST,-6156.37
2012-01-01 12:37:00 EST,-6323.21
2012-01-01 12:38:00 EST,-6489.79
2012-01-01 12:39:00 EST,-6656.13
2012-01-01 12:40:00 EST,-6822.22
2012-01-01 12:41:00 EST,-6988.06
2012-01-01 12:42:00 EST,-7153.64
2012-01-01 12:43:00 EST,-7318.97
2012-01-01 12:44:00 EST,-7484.04
2012-01-01 12:45:00 EST,-7648.85
2012-01-01 12:46:00 EST,-7813.4
2012-01-01 12:47:00 EST,-7977.69
2012-01-01 12:48:00 EST,-8141.71
2012-01-01 12:49:00 EST,-8305.47
2012-01-01 12:50:00 EST,-8468.96
2012-01-01 12:51:00 EST,-8632.17
2012-01-01 12:52:00 EST,-8795.12
2012-01-01 12:53:00 EST,-8957.79
2012-01-01 12:54:00 EST,-9120.18
2012-01-01 12:55:00 EST,-9282.3
2012-01-01 12:56:00 EST,-9444.13
2012-01-01 12:57:00 EST,-9605.69
2012-01-01 12:58:00 EST,-9766.96
2012-01-01 12:59:00 EST,-9927.94
2012-01-01 13:00:00 EST,-10088.6
2012-01-01 13:01:00 EST,-10249.1
2012-01-01 13:02:00 EST,-10409.4
2012-01-01 13:03:00 EST,-10569.7
2012-01-01 13:04:00 EST,-10729.8
2012-01-01 13:05:00 EST,-10889.9
2012-01-01 13:06:00 EST,-11049.8
2012-01-01 13:07:00 EST,-11210.3
2012-01-01 13:08:00 EST,-11370.7
2012-01-01 13:09:00 EST,-11530.9
2012-01-01 13:10:00 EST,-11691
2012-01-01 13:11:00 EST,-11850.9
2012-01-01 13:12:00 EST,-12010.6
2012-01-01 13:13:00 EST,-12170.2
2012-01-01 13:14:00 EST,-12329.6
2012-01-01 13:15:00 EST,-12488.9
2012-01-01 13:16:00 EST,-12647.9
2012-01-01 13:17:00 EST,-12806.7
2012-01-01 13:18:00 EST,-12965.3
2012-01-01 13:19:00 EST,-13123.6
2012-01-01 13:20:00 EST,-13281.8
2012-01-01 13:21:00 EST,-13439.6
2012-01-01 13:22:00 EST,-13597.2
2012-01-01 13:23:00 EST,-13754.6
2012-01-01 13:24:00 EST,-13911.7
2012-01-01 13:25:00 EST,-14068.5
2012-01-01 13:26:00 EST,-14225
2012-01-01 13:27:00 EST,-14381.2
2012-01-01 13:28:00 EST,-14537.1
2012-01-01 13:29:00 EST,-14692.6
2012-01-01 13:30:00 EST,-14847.8
2012-01-01 13:31:00 EST,-15002.7
2012-01-01 13:32:00 EST,-15157.3
