# file...... outPower.csv
# date...... Fri Jul 18 16:11:48 2014
# user...... dwp0
# host...... (null)
# target.... regulator 2
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,power_in.real, power_in.imag
2011-01-01 00:00:00 PST,+164495,+46629
2011-01-01 01:00:00 PST,+162888,+46300.8
2011-01-01 02:00:00 PST,+160438,+45729.8
2011-01-01 03:00:00 PST,+159086,+45461.2
2011-01-01 04:00:00 PST,+159256,+45630.4
2011-01-01 05:00:00 PST,+161792,+46474.5
2011-01-01 06:00:00 PST,+161790,+46588.2
2011-01-01 07:00:00 PST,+165710,+47843
2011-01-01 08:00:00 PST,+176058,+50979.4
2011-01-01 09:00:00 PST,+188072,+54623.1
2011-01-01 10:00:00 PST,+191870,+55877.9
2011-01-01 11:00:00 PST,+192414,+56182.8
2011-01-01 12:00:00 PST,+188685,+55229
2011-01-01 13:00:00 PST,+186014,+54584.2
2011-01-01 14:00:00 PST,+176177,+51812.7
2011-01-01 15:00:00 PST,+172315,+50804
2011-01-01 16:00:00 PST,+178539,+52796
2011-01-01 17:00:00 PST,+182001,+53975.1
2011-01-01 18:00:00 PST,+188872,+56015.6
2011-01-01 19:00:00 PST,+191526,+56794.8
2011-01-01 20:00:00 PST,+184438,+54660.7
2011-01-01 21:00:00 PST,+182102,+53948.5
2011-01-01 22:00:00 PST,+178168,+52773.7
2011-01-01 23:00:00 PST,+169922,+50312.2
2011-01-02 00:00:00 PST,+160766,+47581.3
2011-01-02 01:00:00 PST,+158269,+46836.9
2011-01-02 02:00:00 PST,+156452,+46295.5
2011-01-02 03:00:00 PST,+158798,+46994.8
2011-01-02 04:00:00 PST,+159858,+47310.6
2011-01-02 05:00:00 PST,+161447,+47784.4
2011-01-02 06:00:00 PST,+161674,+47852.1
2011-01-02 07:00:00 PST,+166895,+49409.2
2011-01-02 08:00:00 PST,+179152,+53067.4
2011-01-02 09:00:00 PST,+193901,+57474.9
2011-01-02 10:00:00 PST,+193069,+57226.1
2011-01-02 11:00:00 PST,+186338,+55214
2011-01-02 12:00:00 PST,+183766,+54445.6
2011-01-02 13:00:00 PST,+181799,+53858.1
2011-01-02 14:00:00 PST,+168106,+49770.4
2011-01-02 15:00:00 PST,+163490,+48393.6
2011-01-02 16:00:00 PST,+165382,+48957.8
2011-01-02 17:00:00 PST,+175218,+51892.8
2011-01-02 18:00:00 PST,+180135,+53361.1
2011-01-02 19:00:00 PST,+179833,+53270.7
2011-01-02 20:00:00 PST,+174159,+51576.6
2011-01-02 21:00:00 PST,+171662,+50831.5
2011-01-02 22:00:00 PST,+162506,+48100.3
2011-01-02 23:00:00 PST,+156074,+46182.8
2011-01-03 00:00:00 PST,+151003,+44671.9
2011-01-03 01:00:00 PST,+147672,+43680
2011-01-03 02:00:00 PST,+145250,+42958.7
2011-01-03 03:00:00 PST,+146537,+43341.9
2011-01-03 04:00:00 PST,+146613,+43364.4
2011-01-03 05:00:00 PST,+148505,+43927.9
2011-01-03 06:00:00 PST,+153879,+45528.7
2011-01-03 07:00:00 PST,+168560,+49905.8
2011-01-03 08:00:00 PST,+177336,+52525.2
2011-01-03 09:00:00 PST,+173478,+51373.4
2011-01-03 10:00:00 PST,+180892,+53587
2011-01-03 11:00:00 PST,+179833,+53270.7
2011-01-03 12:00:00 PST,+173932,+51508.9
2011-01-03 13:00:00 PST,+166139,+49183.5
2011-01-03 14:00:00 PST,+164777,+48777.3
2011-01-03 15:00:00 PST,+162128,+47987.5
2011-01-03 16:00:00 PST,+163642,+48438.8
2011-01-03 17:00:00 PST,+165912,+49115.8
2011-01-03 18:00:00 PST,+173554,+51396
2011-01-03 19:00:00 PST,+174083,+51554
2011-01-03 20:00:00 PST,+167803,+49680.1
2011-01-03 21:00:00 PST,+164701,+48754.7
2011-01-03 22:00:00 PST,+160085,+47378.3
2011-01-03 23:00:00 PST,+156377,+46273
2011-01-04 00:00:00 PST,+146158,+43229.2
2011-01-04 01:00:00 PST,+138891,+41066.1
2011-01-04 02:00:00 PST,+137528,+40660.6
2011-01-04 03:00:00 PST,+137604,+40683.1
2011-01-04 04:00:00 PST,+140329,+41494.1
2011-01-04 05:00:00 PST,+141692,+41899.6
2011-01-04 06:00:00 PST,+148051,+43792.7
2011-01-04 07:00:00 PST,+158117,+46791.8
2011-01-04 08:00:00 PST,+159479,+47197.8
2011-01-04 09:00:00 PST,+161523,+47807
2011-01-04 10:00:00 PST,+165987,+49138.4
2011-01-04 11:00:00 PST,+171511,+50786.3
2011-01-04 12:00:00 PST,+176655,+52321.9
2011-01-04 13:00:00 PST,+170225,+50402.5
2011-01-04 14:00:00 PST,+161674,+47852.1
2011-01-04 15:00:00 PST,+163717,+48461.3
2011-01-04 16:00:00 PST,+169317,+50131.6
2011-01-04 17:00:00 PST,+169317,+50131.6
2011-01-04 18:00:00 PST,+180513,+53474
2011-01-04 19:00:00 PST,+185733,+55033.2
2011-01-04 20:00:00 PST,+182405,+54038.9
2011-01-04 21:00:00 PST,+177488,+52570.4
2011-01-04 22:00:00 PST,+171813,+50876.6
2011-01-04 23:00:00 PST,+164550,+48709.6
2011-01-05 00:00:00 PST,+156452,+46295.5
2011-01-05 01:00:00 PST,+154333,+45664
2011-01-05 02:00:00 PST,+153652,+45461.1
2011-01-05 03:00:00 PST,+155241,+45934.7
