Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4, Node5, Magnitude5, Angle5, pu5, Node6, Magnitude6, Angle6, pu6
"EQ_SOURCE_BUS", 69, 1,    39766.6,   -0.1,   0.99823, 2,    39776.6, -120.1,   0.99848, 3,    39772.6,  119.9,   0.99838, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS_XFMR", 13.8, 1,    7928.06,  -30.6,   0.99506, 2,    7933.27, -150.5,   0.99571, 3,    7932.94,   89.5,   0.99567, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1", 13.8, 1,    8126.23,  -30.6,    1.0199, 2,    8131.57, -150.5,    1.0206, 3,    8131.22,   89.5,    1.0206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1003", 13.8, 1,    8124.74,  -30.6,    1.0197, 2,    8129.94, -150.5,    1.0204, 3,    8129.78,   89.5,    1.0204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"T_BUS1003_L", 0.208, 1,    121.912,  -30.8,    1.0152, 2,    121.991, -150.8,    1.0158, 3,    121.988,   89.2,    1.0158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1004", 13.8, 1,    8124.54,  -30.6,    1.0197, 2,    8129.67, -150.5,    1.0204, 3,    8129.59,   89.5,    1.0204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"T_BUS1004_L", 0.208, 1,     122.11,  -30.6,    1.0168, 2,    122.188, -150.6,    1.0175, 3,    122.186,   89.4,    1.0175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1005", 13.8, 1,    8124.41,  -30.6,    1.0197, 2,    8129.49, -150.5,    1.0203, 3,    8129.46,   89.4,    1.0203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"T_BUS1005_L", 0.208, 1,    122.221,  -30.6,    1.0178, 2,    122.298, -150.6,    1.0184, 3,    122.297,   89.4,    1.0184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1006", 13.8, 1,    8124.07,  -30.6,    1.0197, 2,    8129.04, -150.5,    1.0203, 3,    8129.13,   89.4,    1.0203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"T_BUS1006_L", 0.208, 1,    121.812,  -31.2,    1.0144, 2,    122.525, -150.5,    1.0203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1007", 13.8, 1,    8124.03,  -30.6,    1.0197, 2,    8128.94, -150.5,    1.0203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"T_BUS1007_L", 0.208, 1,    121.519,  -31.5,    1.0119, 2,    122.523, -150.5,    1.0203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1008", 13.8, 1,    8123.95,  -30.6,    1.0196, 2,    8128.89, -150.5,    1.0203, 3,    8128.98,   89.4,    1.0203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"T_BUS1008_L", 0.208, 1,    121.215,  -30.7,    1.0094, 2,     121.29, -150.6,      1.01, 3,    121.291,   89.3,      1.01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1009", 13.8, 1,    8123.76,  -30.6,    1.0196, 2,    8128.65, -150.5,    1.0202, 3,    8128.74,   89.4,    1.0202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"T_BUS1009_L", 0.208, 1,    121.628,  -30.7,    1.0128, 2,    121.702, -150.6,    1.0134, 3,    121.703,   89.3,    1.0134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1010", 13.8, 1,    8123.75,  -30.6,    1.0196, 2,    8128.65, -150.5,    1.0202, 3,    8128.73,   89.4,    1.0202, 4,    8123.75,  -30.6,    1.0196, 5,    8128.65, -150.5,    1.0202, 6,    8128.73,   89.4,    1.0202
"T_BUS1010_L", 0.208, 1,    121.844,  -30.7,    1.0146, 2,    121.918, -150.6,    1.0152, 3,    121.919,   89.4,    1.0152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1011", 13.8, 1,    8123.76,  -30.6,    1.0196, 2,    8128.64, -150.5,    1.0202, 3,    8128.73,   89.4,    1.0202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"T_BUS1011_L", 0.208, 1,    122.032,  -30.7,    1.0162, 2,    122.032,  149.3,    1.0162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1012", 13.8, 1,    8123.76,  -30.6,    1.0196, 2,    8128.63, -150.5,    1.0202, 3,    8128.71,   89.4,    1.0202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"T_BUS1012_L", 0.208, 1,    121.979, -150.6,    1.0157, 2,    121.979,   29.4,    1.0157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1013", 13.8, 1,    8123.77,  -30.6,    1.0196, 2,    8128.62, -150.5,    1.0202, 3,    8128.64,   89.4,    1.0202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"T_BUS1013_L", 0.208, 1,    122.323,  -30.6,    1.0186, 2,    122.397, -150.5,    1.0192, 3,    122.397,   89.4,    1.0192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1014", 13.8, 2,    8128.61, -150.5,    1.0202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"T_BUS1014_L", 0.208, 1,    122.372, -150.5,     1.019, 2,    122.372,   29.5,     1.019, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1015", 13.8, 2,     8128.6, -150.5,    1.0202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"T_BUS1015_L", 0.208, 1,    122.354, -150.6,    1.0189, 2,    122.354,   29.4,    1.0189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1016", 13.8, 3,    8128.52,   89.4,    1.0202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"T_BUS1016_L", 0.208, 1,    122.098,   89.4,    1.0167, 2,    122.098,  -90.6,    1.0167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
