Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4, Node5, Magnitude5, Angle5, pu5, Node6, Magnitude6, Angle6, pu6
"EQ_SOURCE_BUS", 69, 1,    39766.8,   -0.1,   0.99823, 2,    39776.8, -120.1,   0.99848, 3,    39772.7,  119.9,   0.99838, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1001", 13.8, 1,    8128.84,  -30.6,    1.0203, 2,    8133.77, -150.5,    1.0209, 3,    8133.53,   89.5,    1.0208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1002", 13.8, 1,    8127.41,  -30.6,    1.0201, 2,     8132.2, -150.5,    1.0207, 3,    8132.15,   89.5,    1.0207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1003", 13.8, 1,    8127.36,  -30.6,    1.0201, 2,    8132.15, -150.5,    1.0207, 3,     8132.1,   89.5,    1.0207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1004", 13.8, 1,    8127.17,  -30.6,      1.02, 2,    8131.88, -150.5,    1.0206, 3,     8131.9,   89.4,    1.0206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1005", 13.8, 1,    8127.03,  -30.6,      1.02, 2,     8131.7, -150.5,    1.0206, 3,    8131.77,   89.4,    1.0206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1006", 13.8, 1,     8126.7,  -30.6,      1.02, 2,    8131.24, -150.5,    1.0206, 3,    8131.44,   89.4,    1.0206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1007", 13.8, 1,    8126.65,  -30.6,      1.02, 2,    8131.14, -150.5,    1.0205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1008", 13.8, 1,    8126.57,  -30.6,      1.02, 2,     8131.1, -150.5,    1.0205, 3,     8131.3,   89.4,    1.0206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1009", 13.8, 1,    8126.38,  -30.6,    1.0199, 2,    8130.86, -150.5,    1.0205, 3,    8131.05,   89.4,    1.0205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1010", 13.8, 1,    8126.38,  -30.6,    1.0199, 2,    8130.85, -150.5,    1.0205, 3,    8131.05,   89.4,    1.0205, 4,    8126.38,  -30.6,    1.0199, 5,    8130.85, -150.5,    1.0205, 6,    8131.05,   89.4,    1.0205
"BUS1011", 13.8, 1,    8126.38,  -30.6,    1.0199, 2,    8130.85, -150.5,    1.0205, 3,    8131.04,   89.4,    1.0205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1012", 13.8, 1,    8126.38,  -30.6,    1.0199, 2,    8130.84, -150.5,    1.0205, 3,    8131.03,   89.4,    1.0205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1013", 13.8, 1,     8126.4,  -30.6,      1.02, 2,    8130.83, -150.5,    1.0205, 3,    8130.96,   89.4,    1.0205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1014", 13.8, 2,    8130.81, -150.5,    1.0205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1015", 13.8, 2,    8130.81, -150.5,    1.0205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1016", 13.8, 3,    8130.84,   89.4,    1.0205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1017", 13.8, 3,    8130.83,   89.4,    1.0205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
