, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4
Max %Err,100.0,0.0,0.006089021494237864,0.2610966057441291,100.00000000000001,0.0,0.006050757209049342,0.7812499999999972,100.00000000000001,0.0,0.0021988412106924695,0.0,100.0,0,0.060682597215156064,0.2840909090908929,100.0
Avg %Err,100.0,0.0,0.0022667483511339456,0.0020288587556832045,100.0,0.0,0.001556839247063644,0.0020018816239730825,61.65675620258356,0.0,0.00015988875318498152,0.0,13.327865491080582,0.0,1.2442607589738788e-05,5.825116036311112e-05,0.02050440844781628
Min %Err,100.0,0.0,0.0,0,99.99999999999999,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4
SOURCEBUS,100.0,0.0,0.0,0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0
E192860,100.0,0.0,0.0005290697366815109,0.0,100.0,0.0,0.00039776350837683773,0.0,100.0,0.0,0.00013220483287073253,0.0,100.0,0,0,0,0
M1209817,100.0,0.0,0.0003969130747102249,0.0,100.0,0.0,0.0005304849826327654,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0
L2801909,100.0,0.0,0.00039705543687672674,0.0,100.0,0.0,0.0003979919977041877,0.0,100.0,0.0,0.00013223490208294142,0.0,100.0,0,0,0,0
X2801909C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX2801909C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
M1209814,100.0,0.0,0.00039744627519637613,0.0,100.0,0.0,0.0005311259737857945,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0
M1209811,100.0,0.0,0.0003980490290344238,0.0,100.0,0.0,0.0005318498268823977,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0
