, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
Max %Err,100.0,0.0,1.0933779080417518,2.2222222222222143,100.00000000000001,0.0,0.07399561829867982,0.32232070910556465,100.00000000000001,0.0,1.7627940285352175,0.3539823008849608,100.0
Avg %Err,100.0,0.0,1.0434689127782257,0.35243380438610805,100.0,0.0,0.06709708949761961,0.2866281407587001,100.0,0.0,0.07307372570689089,0.2730735810708683,100.0
Min %Err,100.0,0.0,0.0,0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
,,,,,,,,,,,,,
Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
SOURCEBUS,100.0,0.0,0.0,0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
701,100.0,0.0,1.052762814847954,0.0,100.0,0.0,0.06339065642972361,0.32180209171360075,100.0,0.0,0.034080228445145834,0.2633889376646156,100.0
702,100.0,0.0,1.0612649390604594,0.0,100.0,0.0,0.06553033270888473,0.32154340836012174,100.0,0.0,0.0321520176294163,0.26408450704226355,100.0
705,100.0,0.0,1.0621800968915605,0.0,100.0,0.0,0.06630212380672833,0.32154340836012174,100.0,0.0,0.031116803797701962,0.35211267605634305,100.0
713,100.0,0.0,1.0625020831558813,2.127659574468096,100.0,0.0,0.06598964854271185,0.32154340836012174,100.0,0.0,0.03149275666596288,0.26408450704226355,100.0
703,100.0,0.0,1.0686277433206133,0.0,100.0,0.0,0.06800821825625626,0.32154340836012174,100.0,0.0,0.031214724638948255,0.26455026455026204,100.0
727,100.0,0.0,1.0703169899760518,0.0,100.0,0.0,0.06842518189993836,0.32154340836012174,100.0,0.0,0.030873502181118822,0.26455026455026204,100.0
730,100.0,0.0,1.0747889610998342,0.0,100.0,0.0,0.06933591995832071,0.24115755627009416,100.0,0.0,0.03024087035410701,0.2647837599293885,100.0
704,100.0,0.0,1.063766653808503,2.127659574468096,100.0,0.0,0.06649673057740157,0.24096385542168447,100.0,0.0,0.03047851264858803,0.35211267605634305,100.0
714,100.0,0.0,1.0639797591577138,2.127659574468096,100.0,0.0,0.06615270189089127,0.32154340836012174,100.0,0.0,0.030479397378777105,0.35211267605634305,100.0
720,100.0,0.0,1.0659674118534193,0.0,100.0,0.0,0.06736347251534881,0.32128514056225355,100.0,0.0,0.029491973449956493,0.2638522427440608,100.0
