hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 0.00017, 7220.59, -33.3838, 7227.49, -153.164, 7264.99, 86.7561, 0, 0, 54.9022, -33.3759, 56.2193, -153.028, 55.8249, 85.6981, 0.0770433, 26.5644
0, 0.00033, 7220.59, -33.3838, 7227.49, -153.164, 7264.99, 86.7561, 0, 0, 54.9022, -33.3759, 56.2194, -153.028, 55.8249, 85.698, 0.0770433, 26.5643
0, 0.00050, 7220.59, -33.3838, 7227.49, -153.164, 7264.99, 86.7561, 0, 0, 54.9022, -33.3759, 56.2194, -153.028, 55.8249, 85.698, 0.0770433, 26.5643
0, 0.00067, 7220.59, -33.3838, 7227.49, -153.164, 7264.99, 86.7561, 0, 0, 54.9022, -33.3759, 56.2194, -153.028, 55.8249, 85.698, 0.0770433, 26.5643
0, 0.00083, 7220.59, -33.3838, 7227.49, -153.164, 7264.99, 86.7561, 0, 0, 54.9022, -33.3759, 56.2194, -153.028, 55.8248, 85.698, 0.0770433, 26.5643
0, 0.00100, 7220.59, -33.3838, 7227.49, -153.164, 7264.99, 86.7561, 0, 0, 54.9023, -33.3758, 56.2194, -153.028, 55.8248, 85.698, 0.0770433, 26.5643
0, 0.00117, 7220.59, -33.3838, 7227.49, -153.164, 7264.99, 86.7561, 0, 0, 54.9023, -33.3758, 56.2194, -153.028, 55.8248, 85.698, 0.0770433, 26.5642
0, 0.00133, 7220.59, -33.3838, 7227.48, -153.164, 7264.99, 86.7561, 0, 0, 54.9023, -33.3758, 56.2194, -153.028, 55.8248, 85.698, 0.0770433, 26.5642
0, 0.00150, 7220.59, -33.3838, 7227.48, -153.164, 7264.99, 86.7561, 0, 0, 54.9023, -33.3758, 56.2194, -153.028, 55.8248, 85.698, 0.0770433, 26.5642
0, 0.00167, 7220.59, -33.3838, 7227.48, -153.164, 7264.99, 86.7561, 0, 0, 54.9023, -33.3758, 56.2194, -153.028, 55.8247, 85.698, 0.0770433, 26.5642
0, 0.00183, 7220.59, -33.3838, 7227.48, -153.164, 7264.99, 86.7561, 0, 0, 54.9023, -33.3758, 56.2194, -153.028, 55.8247, 85.698, 0.0770433, 26.5642
0, 0.00200, 7220.59, -33.3838, 7227.48, -153.164, 7264.99, 86.7561, 0, 0, 54.9023, -33.3758, 56.2194, -153.028, 55.8247, 85.698, 0.0770433, 26.5641
