"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
1, 3415.13995277202, 1623.18706747958, 3415.13995277202, 3781.25867312098, 91.5431285518355, 254.713989759331, 91.5431285518355
2, 3032.39853859965, 1440.5423884087, 3415.13995277202, 3781.25867312098, 81.5050552830178, 216.00162316577, 91.5431285518355
3, 2623.74810837199, 1247.50029468281, 3415.13995277202, 3781.25867312098, 72.1232508594654, 179.832983686087, 91.5431285518355
4, 2411.93020311039, 1148.33010623816, 3415.13995277202, 3781.25867312098, 67.8522640511596, 163.229947086632, 91.5431285518355
5, 2275.09970070288, 1084.54299959474, 3415.13995277202, 3781.25867312098, 65.2859759332633, 153.259790952583, 91.5431285518355
6, 2174.81689739732, 1037.91997953598, 3415.13995277202, 3781.25867312098, 63.5275216710893, 146.351856555605, 91.5431285518355
7, 2116.93288338463, 1011.08097500851, 3415.13995277202, 3781.25867312098, 62.592156628009, 142.550111769265, 91.5431285518355
8, 2225.59024944861, 1061.62537754145, 3415.13995277202, 3781.25867312098, 64.636516419003, 150.037283900805, 91.5431285518355
9, 2666.50930646519, 1267.80952431111, 3415.13995277202, 3781.25867312098, 73.5545583164296, 183.872547613536, 91.5431285518355
10, 3195.92168163896, 1518.25545135359, 3415.13995277202, 3781.25867312098, 86.1971484856389, 232.474895550305, 91.5431285518355
11, 3655.88055817511, 1738.71225777564, 3655.88055817511, 4048.28148366464, 98.9869661273347, 281.908047200241, 98.9869661273347
12, 4237.20820781068, 2021.42546146451, 4237.20820781068, 4694.68788021048, 117.811021194489, 354.303455368652, 117.811021194489
13, 4970.32037680773, 2384.2553377373, 4970.32037680773, 5512.59994590927, 145.76227356443, 461.470460821433, 145.76227356443
14, 5198.42137171681, 2498.47018284853, 5198.42137171681, 5767.6631327172, 155.411037815513, 498.448971196432, 155.411037815513
15, 5377.82505532851, 2588.97998069993, 5377.82505532851, 5968.56931485126, 163.337018259131, 528.794626779294, 163.337018259131
16, 5798.0975960805, 2802.87975182535, 5798.0975960805, 6440.03654002576, 183.131831444908, 604.202497066423, 183.131831444908
17, 5597.33863463925, 2700.53121182616, 5798.0975960805, 6440.03654002576, 173.525373321921, 567.534189308189, 183.131831444908
18, 4923.5700998178, 2360.8292632334, 5798.0975960805, 6440.03654002576, 143.785247501805, 454.158706175571, 183.131831444908
19, 4470.80936375682, 2136.46860804096, 5798.0975960805, 6440.03654002576, 126.036229628522, 386.461791546759, 183.131831444908
20, 4208.70277373597, 2007.60525904886, 5798.0975960805, 6440.03654002576, 116.576784278293, 350.356898052957, 183.131831444908
21, 3994.32082097453, 1902.93746640059, 5798.0975960805, 6440.03654002576, 109.284665072078, 322.508469010009, 183.131831444908
22, 3840.69493569295, 1828.28836978796, 5798.0975960805, 6440.03654002576, 104.320423079805, 303.494299241138, 183.131831444908
23, 3611.06387593554, 1717.35783513128, 5798.0975960805, 6440.03654002576, 97.2110543628682, 276.420479395007, 183.131831444908
24, 3173.58161011953, 1507.73236906116, 5798.0975960805, 6440.03654002576, 85.0203568808877, 229.695039184115, 183.131831444908
25, 2716.45110480957, 1291.13579159854, 5798.0975960805, 6440.03654002576, 74.0579775907683, 187.508013248622, 183.131831444908
26, 2343.41644713139, 1116.28053224755, 5798.0975960805, 6440.03654002576, 66.4357256951744, 158.058075369032, 183.131831444908
27, 2101.40627693881, 1003.79406482375, 5798.0975960805, 6440.03654002576, 62.1223244217796, 141.335580901925, 183.131831444908
28, 1964.38864127425, 940.452611432642, 5798.0975960805, 6440.03654002576, 59.9088667034316, 132.704096149635, 183.131831444908
29, 1936.18090019455, 927.475271331557, 5798.0975960805, 6440.03654002576, 59.5518181769106, 131.082206866582, 183.131831444908
30, 1936.40940079131, 927.616544489793, 5798.0975960805, 6440.03654002576, 59.5470285903908, 131.087480457198, 183.131831444908
31, 2172.55765605267, 1037.16610998411, 5798.0975960805, 6440.03654002576, 63.4144355924837, 146.142489142307, 183.131831444908
32, 2396.80772347827, 1141.56769517424, 5798.0975960805, 6440.03654002576, 67.5315299265019, 162.074832437884, 183.131831444908
33, 2328.93143484723, 1109.68532087014, 5798.0975960805, 6440.03654002576, 66.3323275545283, 157.159530309897, 183.131831444908
34, 2541.66131098471, 1209.26668388547, 5798.0975960805, 6440.03654002576, 70.5856765604213, 173.380891250917, 183.131831444908
35, 2725.84656169088, 1295.74827881647, 5798.0975960805, 6440.03654002576, 74.5517325171671, 188.564630794957, 183.131831444908
36, 3121.03643094215, 1482.75697786637, 5798.0975960805, 6440.03654002576, 83.9545880237605, 224.740496191043, 183.131831444908
37, 3764.34652977997, 1791.1587035973, 5798.0975960805, 6440.03654002576, 101.998311992111, 294.302448497855, 183.131831444908
38, 4302.84936812855, 2053.45768889524, 5798.0975960805, 6440.03654002576, 119.864168472044, 362.925059625867, 183.131831444908
39, 4685.68204374869, 2242.36412349838, 5798.0975960805, 6440.03654002576, 134.113888128566, 417.532987953144, 183.131831444908
40, 4984.35212122455, 2391.14478502359, 5798.0975960805, 6440.03654002576, 146.127779074581, 463.506070726232, 183.131831444908
41, 5268.88495339718, 2533.97073015165, 5798.0975960805, 6440.03654002576, 158.36636432506, 510.154569551057, 183.131831444908
42, 5324.26796780204, 2562.01930057493, 5798.0975960805, 6440.03654002576, 160.90757556184, 519.667273573493, 183.131831444908
43, 5522.66974256716, 2662.34192394991, 5798.0975960805, 6440.03654002576, 170.021159202746, 554.226352429605, 183.131831444908
44, 5408.95084607831, 2604.8779341679, 5798.0975960805, 6440.03654002576, 164.860095594151, 534.412264156803, 183.131831444908
45, 5025.96886289191, 2412.2896065374, 5798.0975960805, 6440.03654002576, 148.045440490732, 470.455845079495, 183.131831444908
46, 4804.76856448618, 2301.7971479226, 5798.0975960805, 6440.03654002576, 138.932033100765, 435.745035856641, 183.131831444908
47, 4373.47644127151, 2088.57065065166, 5798.0975960805, 6440.03654002576, 122.395306432596, 372.744517221167, 183.131831444908
48, 3854.33606139598, 1835.0340348663, 5798.0975960805, 6440.03654002576, 104.693428828162, 305.087823822565, 183.131831444908
49, 3175.29332965387, 1508.50882637498, 5798.0975960805, 6440.03654002576, 85.0751490540376, 229.881118160311, 183.131831444908
50, 2765.54821456648, 1314.2986643975, 5798.0975960805, 6440.03654002576, 75.1481915557482, 191.715291397643, 183.131831444908
51, 2405.98053151977, 1145.51431004042, 5798.0975960805, 6440.03654002576, 67.6298924696497, 162.681337979061, 183.131831444908
52, 2134.43213208389, 1019.09014286507, 5798.0975960805, 6440.03654002576, 62.6950967273844, 143.516716915011, 183.131831444908
53, 1976.04128596045, 945.816110521327, 5798.0975960805, 6440.03654002576, 60.1024025418449, 133.423558116081, 183.131831444908
54, 1996.50485052346, 955.452579554004, 5798.0975960805, 6440.03654002576, 60.4267627447711, 134.688367424336, 183.131831444908
55, 2161.37276991168, 1031.94108211057, 5798.0975960805, 6440.03654002576, 63.1988476090385, 145.361582311244, 183.131831444908
56, 2416.10772568639, 1150.62168271347, 5798.0975960805, 6440.03654002576, 67.8897519572045, 163.502370514883, 183.131831444908
57, 2307.43249096195, 1099.66363717543, 5798.0975960805, 6440.03654002576, 65.8925994210362, 155.568171729033, 183.131831444908
58, 2355.65282596854, 1122.23482707587, 5798.0975960805, 6440.03654002576, 66.8809279589098, 159.152522782583, 183.131831444908
59, 2627.27826820637, 1249.48505518438, 5798.0975960805, 6440.03654002576, 72.3410818674934, 180.251347234196, 183.131831444908
60, 2761.54009390922, 1312.58288078723, 5798.0975960805, 6440.03654002576, 75.2810489590628, 191.558911991096, 183.131831444908
61, 2937.08619648979, 1395.4840580217, 5798.0975960805, 6440.03654002576, 79.3750921173561, 207.238193253938, 183.131831444908
62, 3195.10451642152, 1518.03721954271, 5798.0975960805, 6440.03654002576, 85.756050065395, 231.972872128458, 183.131831444908
63, 3448.53026758202, 1639.18182062338, 5798.0975960805, 6440.03654002576, 92.5988814697022, 258.38350190306, 183.131831444908
64, 3759.34494873176, 1788.84515937905, 5798.0975960805, 6440.03654002576, 101.741367227626, 293.626789476483, 183.131831444908
65, 4079.65469104313, 1944.37868869042, 5798.0975960805, 6440.03654002576, 112.067762405125, 333.284171596927, 183.131831444908
