"Hour", "Undervoltages", "Min Voltage", "Overvoltage", "Max Voltage", "Min Bus", "Max Bus"
1, 0, 1.00168, 0, 1.05, x_39754_1, sourcebus
2, 0, 1.00722, 0, 1.05, x_39754_1, sourcebus
3, 0, 1.01314, 0, 1.05, x_39754_1, sourcebus
4, 0, 1.01447, 0, 1.05, x_69478_1, sourcebus
5, 0, 1.01554, 0, 1.05, x_69478_1, sourcebus
6, 0, 1.01612, 0, 1.05, x_69478_1, sourcebus
7, 0, 1.01596, 0, 1.05, x_6568_1, sourcebus
8, 0, 1.01204, 0, 1.05, x_6568_1, sourcebus
9, 0, 1.00391, 0, 1.05, x_6568_1, sourcebus
10, 0, 0.996548, 0, 1.05, x_6568_1, sourcebus
11, 0, 0.991247, 0, 1.05, x_6568_1, sourcebus
12, 0, 0.984799, 0, 1.05, x_6568_1, sourcebus
13, 0, 0.977259, 0, 1.05, x_6568_1, sourcebus
14, 0, 0.975857, 0, 1.05, x_39754_1, sourcebus
15, 0, 0.973242, 0, 1.05, x_39754_1, sourcebus
16, 0, 0.967117, 0, 1.05, x_39754_1, sourcebus
17, 0, 0.970032, 0, 1.05, x_39754_1, sourcebus
18, 0, 0.979824, 0, 1.05, x_39754_1, sourcebus
19, 0, 0.986385, 0, 1.05, x_39754_1, sourcebus
20, 0, 0.990185, 0, 1.05, x_39754_1, sourcebus
21, 0, 0.99329, 0, 1.05, x_39754_1, sourcebus
22, 0, 0.995514, 0, 1.05, x_39754_1, sourcebus
23, 0, 0.998839, 0, 1.05, x_39754_1, sourcebus
24, 0, 1.00517, 0, 1.05, x_39754_1, sourcebus
25, 0, 1.01179, 0, 1.05, x_39754_1, sourcebus
26, 0, 1.01719, 0, 1.05, x_39754_1, sourcebus
27, 0, 1.02057, 0, 1.05, x_69478_1, sourcebus
28, 0, 1.02149, 0, 1.05, x_69478_1, sourcebus
29, 0, 1.01905, 0, 1.05, x_69478_1, sourcebus
30, 0, 1.01933, 0, 1.05, x_69478_1, sourcebus
31, 0, 1.0173, 0, 1.05, x_69478_1, sourcebus
32, 0, 1.01537, 0, 1.05, x_6568_1, sourcebus
33, 0, 1.01326, 0, 1.05, x_6568_1, sourcebus
34, 0, 1.00886, 0, 1.05, x_6568_1, sourcebus
35, 0, 1.00535, 0, 1.05, x_6568_1, sourcebus
36, 0, 0.999532, 0, 1.05, x_6568_1, sourcebus
37, 0, 0.992549, 0, 1.05, x_6568_1, sourcebus
38, 0, 0.987106, 0, 1.05, x_6568_1, sourcebus
39, 0, 0.983294, 0, 1.05, x_39754_1, sourcebus
40, 0, 0.978956, 0, 1.05, x_39754_1, sourcebus
41, 0, 0.974818, 0, 1.05, x_39754_1, sourcebus
42, 0, 0.974003, 0, 1.05, x_39754_1, sourcebus
43, 0, 0.971118, 0, 1.05, x_39754_1, sourcebus
44, 0, 0.972762, 0, 1.05, x_39754_1, sourcebus
45, 0, 0.978323, 0, 1.05, x_39754_1, sourcebus
46, 0, 0.981537, 0, 1.05, x_39754_1, sourcebus
47, 0, 0.98779, 0, 1.05, x_39754_1, sourcebus
48, 0, 0.995313, 0, 1.05, x_39754_1, sourcebus
49, 0, 1.00515, 0, 1.05, x_39754_1, sourcebus
50, 0, 1.01108, 0, 1.05, x_39754_1, sourcebus
51, 0, 1.01629, 0, 1.05, x_39754_1, sourcebus
52, 0, 1.01987, 0, 1.05, x_69478_1, sourcebus
53, 0, 1.02113, 0, 1.05, x_69478_1, sourcebus
54, 0, 1.02087, 0, 1.05, x_69478_1, sourcebus
55, 0, 1.01826, 0, 1.05, x_69478_1, sourcebus
56, 0, 1.01432, 0, 1.05, x_6568_1, sourcebus
57, 0, 1.01352, 0, 1.05, x_6568_1, sourcebus
58, 0, 1.01119, 0, 1.05, x_6568_1, sourcebus
59, 0, 1.00732, 0, 1.05, x_6568_1, sourcebus
60, 0, 1.00497, 0, 1.05, x_6568_1, sourcebus
61, 0, 1.00221, 0, 1.05, x_6568_1, sourcebus
62, 0, 0.999806, 0, 1.05, x_6568_1, sourcebus
